//Exported ASCII-File
[Header]
FileName = D:\Gast\Lei Gao\20250414 Sadeed_Hetero\1.wip
GraphName = H-532nm-10s-ave10-2mw-50obj-spot2
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 3205.8
PositionY = 3405.15
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	H-532nm-10s-ave10-2mw-50obj-spot2
rel. 1/cm	CCD cts
-2.01865E+03	 5.06000E+02
-2.01525E+03	 5.04900E+02
-2.01184E+03	 5.08200E+02
-2.00844E+03	 5.05900E+02
-2.00504E+03	 5.05100E+02
-2.00163E+03	 5.04600E+02
-1.99823E+03	 5.06300E+02
-1.99484E+03	 5.05100E+02
-1.99144E+03	 5.03900E+02
-1.98804E+03	 5.04800E+02
-1.98465E+03	 5.03600E+02
-1.98125E+03	 5.06100E+02
-1.97786E+03	 5.06800E+02
-1.97447E+03	 5.06200E+02
-1.97108E+03	 5.06500E+02
-1.96769E+03	 5.04000E+02
-1.96430E+03	 5.07700E+02
-1.96092E+03	 5.05300E+02
-1.95753E+03	 5.04700E+02
-1.95415E+03	 5.05900E+02
-1.95076E+03	 5.07400E+02
-1.94738E+03	 5.07500E+02
-1.94400E+03	 5.04800E+02
-1.94062E+03	 5.04300E+02
-1.93724E+03	 5.07100E+02
-1.93387E+03	 5.04700E+02
-1.93049E+03	 5.06500E+02
-1.92711E+03	 5.07200E+02
-1.92374E+03	 5.04700E+02
-1.92037E+03	 5.04800E+02
-1.91700E+03	 5.05200E+02
-1.91363E+03	 5.07100E+02
-1.91026E+03	 5.06300E+02
-1.90689E+03	 5.06700E+02
-1.90353E+03	 5.06500E+02
-1.90016E+03	 5.05800E+02
-1.89680E+03	 5.07200E+02
-1.89343E+03	 5.06300E+02
-1.89007E+03	 5.08200E+02
-1.88671E+03	 5.06800E+02
-1.88335E+03	 5.05300E+02
-1.88000E+03	 5.06700E+02
-1.87664E+03	 5.07500E+02
-1.87328E+03	 5.07100E+02
-1.86993E+03	 5.04600E+02
-1.86658E+03	 5.06900E+02
-1.86322E+03	 5.09500E+02
-1.85987E+03	 5.05600E+02
-1.85652E+03	 5.07200E+02
-1.85317E+03	 5.06000E+02
-1.84983E+03	 5.05900E+02
-1.84648E+03	 5.04900E+02
-1.84314E+03	 5.08300E+02
-1.83979E+03	 5.06600E+02
-1.83645E+03	 5.06200E+02
-1.83311E+03	 5.04200E+02
-1.82977E+03	 5.06100E+02
-1.82643E+03	 5.05700E+02
-1.82309E+03	 5.06200E+02
-1.81975E+03	 5.05900E+02
-1.81642E+03	 5.04400E+02
-1.81308E+03	 5.07300E+02
-1.80975E+03	 5.07200E+02
-1.80642E+03	 5.05500E+02
-1.80309E+03	 5.06800E+02
-1.79976E+03	 5.06600E+02
-1.79643E+03	 5.08900E+02
-1.79310E+03	 5.09100E+02
-1.78978E+03	 5.06600E+02
-1.78645E+03	 5.05800E+02
-1.78313E+03	 5.06700E+02
-1.77981E+03	 5.06900E+02
-1.77648E+03	 5.05000E+02
-1.77316E+03	 5.07300E+02
-1.76985E+03	 5.07800E+02
-1.76653E+03	 5.06200E+02
-1.76321E+03	 5.08500E+02
-1.75990E+03	 5.06200E+02
-1.75658E+03	 5.08000E+02
-1.75327E+03	 5.08300E+02
-1.74996E+03	 5.05000E+02
-1.74664E+03	 5.09100E+02
-1.74333E+03	 5.07300E+02
-1.74003E+03	 5.05200E+02
-1.73672E+03	 5.07000E+02
-1.73341E+03	 5.04500E+02
-1.73011E+03	 5.05600E+02
-1.72680E+03	 5.06400E+02
-1.72350E+03	 5.05800E+02
-1.72020E+03	 5.06200E+02
-1.71690E+03	 5.05500E+02
-1.71360E+03	 5.07100E+02
-1.71030E+03	 5.06800E+02
-1.70700E+03	 5.06700E+02
-1.70371E+03	 5.06400E+02
-1.70041E+03	 5.07400E+02
-1.69712E+03	 5.08600E+02
-1.69383E+03	 5.06600E+02
-1.69054E+03	 5.08500E+02
-1.68725E+03	 5.05500E+02
-1.68396E+03	 5.04600E+02
-1.68067E+03	 5.07200E+02
-1.67738E+03	 5.06600E+02
-1.67410E+03	 5.06900E+02
-1.67081E+03	 5.08500E+02
-1.66753E+03	 5.06800E+02
-1.66425E+03	 5.06200E+02
-1.66097E+03	 5.05800E+02
-1.65769E+03	 5.06700E+02
-1.65441E+03	 5.07600E+02
-1.65113E+03	 5.07500E+02
-1.64785E+03	 5.06700E+02
-1.64458E+03	 5.08000E+02
-1.64130E+03	 5.05500E+02
-1.63803E+03	 5.05900E+02
-1.63476E+03	 5.08800E+02
-1.63149E+03	 5.07900E+02
